source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
1.14947E+18,124.193027,0.924567994,85.11191255,1.523524752,0.101599139,1.180448752,20.93295,1.2569084,,,NOT_AVAILABLE,,
1.14954E+18,119.4830755,3.744141208,85.49815751,4.208206932,,,20.977962,0.84791946,,,NOT_AVAILABLE,,
1.14954E+18,120.8186198,1.263545456,85.45731391,1.781432035,1.011492789,2.001978307,20.92864,2.3673992,,,NOT_AVAILABLE,,
1.14952E+18,120.9879756,0.144004298,85.2046816,0.163857987,0.174476819,0.178119129,18.107317,1.6823902,,,NOT_AVAILABLE,,
1.14953E+18,119.0717663,0.251870723,85.24132136,0.323155559,-0.325710297,0.345467347,19.585129,1.0326843,,,NOT_AVAILABLE,,
1.14954E+18,121.26599,0.51484353,85.35366402,0.596902334,0.499326507,0.623497765,20.443905,2.0831585,,,NOT_AVAILABLE,,
1.14954E+18,120.4342669,0.13511816,85.57017245,0.144991599,0.603504515,0.170567126,18.350183,1.1420593,,,NOT_AVAILABLE,,
1.14952E+18,122.4451633,0.540760584,85.18694024,0.740390213,1.730945013,0.632751735,20.558447,0.96281433,,,NOT_AVAILABLE,,
1.14954E+18,120.433872,1.064811969,85.52046324,1.31099921,-1.761648239,1.8378433,20.893915,1.9333954,,,NOT_AVAILABLE,,
1.14953E+18,119.7572298,6.132700247,85.28343561,11.9701835,,,21.019802,,,,NOT_AVAILABLE,,
1.14953E+18,118.9054142,0.478279363,85.37534081,0.59060401,-0.443412598,0.6632993,19.250633,0.90978813,,,NOT_AVAILABLE,,
1.14954E+18,120.3149717,0.664314671,85.46691924,0.796847364,2.36648859,0.987610748,20.71344,1.8819084,,,NOT_AVAILABLE,,
1.14951E+18,122.4505037,0.267574989,85.00203248,0.358437768,2.057078231,0.346364241,19.67877,2.3123379,,,NOT_AVAILABLE,,
1.14947E+18,125.1516889,0.288594866,85.09346892,0.553477803,0.825640545,0.366212291,19.366755,,,,NOT_AVAILABLE,,
1.14953E+18,120.3547158,0.070206527,85.24127884,0.086591417,0.548489148,0.09230661,17.748613,1.1019154,,,NOT_AVAILABLE,,
1.14954E+18,119.3859487,0.327130021,85.4980397,0.406345657,0.447572491,0.453489119,19.86472,0.753912,,,NOT_AVAILABLE,,
1.1495E+18,118.7258894,0.499724422,85.06138606,0.570471272,0.289730546,0.662945428,20.323975,1.4193211,,,NOT_AVAILABLE,,
1.14947E+18,125.1650904,0.140625539,85.08004597,0.415577146,0.38647341,0.176596575,17.060822,,,,NOT_AVAILABLE,,
1.14953E+18,118.3842259,0.770754132,85.27079343,1.102682678,1.751225146,1.034581081,20.804497,1.8862629,,,NOT_AVAILABLE,,
1.14947E+18,124.5292644,0.359041858,85.14518139,0.515450116,0.298073453,0.438443829,20.240883,2.037695,,,NOT_AVAILABLE,,
1.14954E+18,120.4923446,0.927979935,85.50440983,1.32807988,5.779958142,1.253094705,20.768578,2.118908,,,NOT_AVAILABLE,,
1.14952E+18,123.7585391,0.052179197,85.15253184,0.05853047,0.349954531,0.059971301,16.947186,0.9055767,,,NOT_AVAILABLE,5370,0.282
1.14951E+18,117.1371466,0.463359132,85.06942091,0.474969156,1.842867174,0.594727471,20.228193,2.7018185,,,NOT_AVAILABLE,,
1.14953E+18,120.6711187,0.086808407,85.23866738,0.106965883,0.845874137,0.113091384,18.168617,1.8743362,,,NOT_AVAILABLE,,
1.14952E+18,122.5396537,0.121662777,85.22166236,0.153416522,0.371445989,0.15256621,18.659643,1.0516891,,,NOT_AVAILABLE,,
1.14953E+18,120.7952522,0.096221114,85.23638269,0.113075216,1.078602931,0.121501662,18.170897,1.7686462,,,NOT_AVAILABLE,,
1.14952E+18,123.5310857,1.06171814,85.18642412,1.693967741,0.576509075,1.793504372,20.989422,0.8864765,,,NOT_AVAILABLE,,
1.14952E+18,121.7393889,0.121976947,85.32749929,0.148192786,0.191581226,0.160473378,18.530416,1.4981346,,,NOT_AVAILABLE,,
1.14952E+18,121.6187598,0.33569354,85.13093661,0.396518123,-0.224475401,0.413263856,19.943426,,,,NOT_AVAILABLE,,
1.14953E+18,120.3683176,0.965200954,85.27602938,1.495427295,1.257346528,1.656998907,20.979107,2.2975368,,,NOT_AVAILABLE,,
